word,m.11,m.12,m.13,m.14,m.15,m.16,m.17,m.18,m.19,m.20,m.21,m.22,m.23,m.24
"aillé",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"aimais",0,1,0,0,0,0,1,0,0,0,0,1,0,0
"aimait",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"aimant",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"aimants",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"aime",5,9,21,6,8,15,10,25,12,11,5,12,15,27
"aiment",0,0,0,0,1,0,0,2,0,2,0,0,2,3
"aimer",0,3,3,1,0,2,0,0,1,0,0,0,1,0
"aimera",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"aimerais",0,2,1,1,0,1,1,1,1,1,1,3,8,7
"aimerait",0,0,0,0,0,0,0,2,0,0,0,2,0,0
"aimes",1,13,7,9,6,9,9,14,7,5,11,17,25,22
"aimess",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"aimé",0,0,1,0,0,1,0,0,0,0,3,0,0,1
"aimés",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ainsi",0,0,0,0,0,0,0,0,1,0,0,2,3,1
"air",1,6,3,7,9,5,9,16,8,5,6,15,17,12
"airs",0,0,0,0,0,0,0,0,0,0,0,1,1,0
"ais",0,0,0,0,0,0,0,1,1,0,0,0,2,0
"aise",0,1,0,1,0,0,0,0,0,1,0,0,1,0
"ait",0,5,1,1,0,0,0,1,3,1,0,2,4,1
"aj",0,1,1,1,0,1,0,0,2,1,0,0,0,0
"aja",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ajajaj",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"aje",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ajes",0,0,0,0,0,0,0,2,0,0,0,0,0,1
"ajnes",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ajoute",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ajouté",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"akak",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"akakak",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"akaro",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ake",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"akeo",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"akoko",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"akra",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"akɔʁ",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ala",0,1,2,0,0,0,1,1,0,0,0,0,1,2
"alain",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"alar",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"alaː",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"albinoni",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"album",0,0,0,0,0,0,0,0,0,11,2,0,11,0
"albums",0,0,0,0,0,0,0,0,0,0,1,0,2,0
"alcatel",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"alcool",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"aldo",0,0,0,0,0,0,0,0,0,0,0,3,1,0
"ale",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"aleksi",0,0,0,0,1,0,0,0,0,0,0,0,0,2
"alerte",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"alexi",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"alexis",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"alez",0,0,0,0,0,0,1,0,0,1,0,0,0,0
"algue",0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ali",0,0,2,0,0,0,0,0,0,0,0,1,0,3
"alice",0,0,0,0,0,0,2,0,0,1,0,1,0,2
"alies",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"alignement",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"aligner",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"alignées",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"aliments",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"aline",0,0,0,0,0,0,0,0,0,0,0,2,0,1
"alis",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"aliyah",0,2,0,0,0,0,0,0,0,2,1,11,1,4
"alize",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"alizée",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"alla",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"alladin",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"allais",1,0,2,3,1,2,1,1,4,0,0,2,1,2
"allait",0,2,1,1,0,2,3,2,4,0,1,4,1,3
"allant",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"aller",10,30,34,42,51,26,26,43,27,45,60,110,78,83
"allergique",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"allers",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"allez",39,117,143,121,152,139,132,124,109,92,115,210,272,135
"alligator",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"allo",0,0,26,19,27,24,26,27,17,5,5,1,6,2
"allonge",0,0,0,0,0,0,0,0,0,0,0,1,4,5
"allonger",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"allonges",0,0,1,1,0,0,0,3,0,0,0,0,0,0
"allongé",1,0,1,0,0,0,0,0,2,0,0,0,1,1
"allongée",0,0,1,1,0,1,0,0,0,0,0,0,0,0
"allons",0,2,1,0,1,0,0,0,0,2,3,4,2,3
"allu",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"allume",0,2,2,0,5,0,1,4,2,0,4,0,0,4
"allumer",0,1,0,1,0,1,0,11,2,0,2,4,0,1
"allumerai",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"allumerais",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"allumes",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"allumé",0,1,0,5,0,0,0,0,0,0,1,5,0,5
"allumée",0,0,0,0,0,0,0,0,0,0,0,3,3,0
"allumées",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"allumés",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"allure",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"allé",0,1,9,2,2,2,2,0,4,3,3,7,6,4
"allée",0,2,0,1,0,0,1,0,1,2,0,2,7,2
"allées",0,0,2,0,0,0,0,0,0,0,0,2,0,0
"allés",0,0,1,0,0,0,0,1,0,0,0,0,1,1
"allô",0,2,8,0,1,19,0,0,0,0,3,0,1,3
"alors",27,115,107,91,132,112,130,118,113,110,162,208,286,244
